Rank,Release Group,Worldwide,Domestic,%,Foreign,%
1,"Hi, Mom","$822,009,764",-,-,"$822,009,764",100%
2,F9: The Fast Saga,"$710,652,900","$172,854,900",24.3%,"$537,798,000",75.7%
3,Detective Chinatown 3,"$686,257,563",-,-,"$686,257,563",100%
4,Godzilla vs. Kong,"$467,863,133","$100,563,133",21.5%,"$367,300,000",78.5%
5,Black Widow,"$372,246,319","$182,646,319",49.1%,"$189,600,000",50.9%
6,A Quiet Place Part II,"$297,372,261","$160,072,261",53.8%,"$137,300,000",46.2%
7,Free Guy,"$241,773,981","$94,373,981",39%,"$147,400,000",61%
8,Cruella,"$222,182,790","$86,082,790",38.7%,"$136,100,000",61.3%
9,The Conjuring: The Devil Made Me Do It,"$201,965,074","$65,565,074",32.5%,"$136,400,000",67.5%
10,Chinese Doctors,"$197,143,218",-,-,"$197,143,218",100%
11,Jungle Cruise,"$193,797,991","$106,897,991",55.2%,"$86,900,000",44.8%
12,Impasse,"$181,325,565","$152,972",<0.1%,"$181,172,593",99.9%
13,Raging Fire,"$165,828,045","$285,128",0.2%,"$165,542,917",99.8%
14,The Suicide Squad,"$162,433,632","$54,633,632",33.6%,"$107,800,000",66.4%
15,Space Jam: A New Legacy,"$154,886,611","$69,886,611",45.1%,"$85,000,000",54.9%
16,Peter Rabbit 2: The Runaway,"$153,736,536","$40,336,536",26.2%,"$113,400,000",73.8%
17,A Writer's Odyssey,"$150,123,320","$160,013",0.1%,"$149,963,307",99.9%
18,Shang-Chi and the Legend of the Ten Rings,"$146,200,000","$90,000,000",61.6%,"$56,200,000",38.4%
19,Tom and Jerry,"$132,841,123","$46,041,123",34.7%,"$86,800,000",65.3%
20,Sister,"$128,292,175",-,-,"$128,292,175",100%
21,Raya and the Last Dragon,"$122,684,382","$54,723,032",44.6%,"$67,961,350",55.4%
22,My Love,"$113,981,474","$86,252",<0.1%,"$113,895,222",99.9%
23,The Boss Baby: Family Business,"$105,396,570","$56,984,570",54.1%,"$48,412,000",45.9%
24,Wrath of Man,"$103,966,489","$27,466,489",26.4%,"$76,500,000",73.6%
25,Detective Conan: The Scarlet Bullet,"$95,659,979",-,-,"$95,659,979",100%
26,Evangelion: 3.0+1.01 Thrice Upon a Time,"$92,246,218",-,-,"$92,246,218",100%
27,End Game,"$91,815,762","$23,149",<0.1%,"$91,792,613",100%
28,Old,"$85,261,655","$47,250,655",55.4%,"$38,011,000",44.6%
29,Mortal Kombat,"$83,601,013","$42,201,013",50.5%,"$41,400,000",49.5%
